Time,Voltage,Current,Power,Energy,State
0,2,500,312,222,0
0.5,2.3,488,312,222,0
1,2.5,497,312,222,0
1.5,3,478,312,222,0
2,3,502,312,222,0
2.5,3,493,312,222,0
3,3.2,505,312,222,0
3.5,3.1,502,312,222,0
4,3.3,501,312,222,0
4.5,3.2,500,312,222,0
5,3.2,503,312,222,1
5.5,2.89,499,312,222,1
6,1.4,504,312,222,1
6.5,0.11,494,312,222,1
7,0.01,495,312,222,1
7.5,0.01,489,312,222,1
8,0.1,475,312,222,1
8.5,0.6,475,312,222,1
9,0.9,475,312,222,1
9.5,0.55,475,312,222,0
10,1.32,475,312,222,0
10.5,1.12,475,312,222,0
11,1.05,475,312,222,0
11.5,0.98,475,312,222,0
