Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0,7.317,248.6,1819.0062,0.0,UNKNOWN
1,7.313,247.7,1811.4300999999998,0.0,UNKNOWN
2,7.313,246.4,1801.9232,0.0,UNKNOWN
3,7.313,252.5,1846.5325,0.0,UNKNOWN
4,7.317,247.1,1808.0307,0.0,UNKNOWN
5,7.313,246.3,1801.1919,0.0,UNKNOWN
6,7.317,246.4,1802.9088000000002,0.0,UNKNOWN
7,7.313,247.4,1809.2362,0.0,UNKNOWN
8,7.313,247.1,1807.0422999999998,0.0,UNKNOWN
9,7.317,246.6,1804.3722,0.0,UNKNOWN
10,7.313,246.9,1805.5797,0.0,UNKNOWN
11,7.317,248.1,1815.3477,0.0,UNKNOWN
12,7.317,247.6,1811.6892,0.0,UNKNOWN
13,7.313,250.3,1830.4439,0.0,UNKNOWN
14,7.313,248.5,1817.2804999999998,0.0,UNKNOWN
15,7.297,246.4,1797.9808,0.0,UNKNOWN
16,6.904,996.5,6879.836,0.0,UNKNOWN
17,7.285,248.5,1810.3225,0.0,UNKNOWN
18,6.762,1052.8,7119.033599999999,0.0,UNKNOWN
19,6.948,353.3,2454.7284000000004,0.0,UNKNOWN
20,6.864,917.2,6295.660800000001,0.0,UNKNOWN
21,6.838,989.1,6763.4658,0.0,UNKNOWN
22,7.273,249.4,1813.8862,0.0,UNKNOWN
23,7.277,247.3,1799.6021,0.0,UNKNOWN
24,7.145,906.3,6475.513499999999,0.0,UNKNOWN
25,7.249,982.8,7124.3171999999995,0.0,UNKNOWN
26,7.281,248.8,1811.5128,0.0,UNKNOWN
27,7.277,248.4,1807.6068,0.0,UNKNOWN
28,6.76,1045.0,7064.2,0.0,UNKNOWN
29,6.846,1032.8,7070.5488,0.0,UNKNOWN
30,0.0,0.0,0.0,0.0,UNKNOWN
31,0.0,0.0,0.0,0.0,UNKNOWN
32,0.0,0.0,0.0,0.0,UNKNOWN
33,0.0,0.0,0.0,0.0,UNKNOWN
34,0.0,0.0,0.0,0.0,UNKNOWN
35,0.0,0.0,0.0,0.0,UNKNOWN
36,0.0,0.0,0.0,0.0,UNKNOWN
37,0.0,0.0,0.0,0.0,UNKNOWN
38,0.0,0.0,0.0,0.0,UNKNOWN
39,0.0,0.0,0.0,0.0,UNKNOWN
40,0.0,0.0,0.0,0.0,UNKNOWN
41,0.0,0.0,0.0,0.0,UNKNOWN
42,0.0,0.0,0.0,0.0,UNKNOWN
43,0.0,0.0,0.0,0.0,UNKNOWN
44,0.0,0.0,0.0,0.0,UNKNOWN
45,0.0,0.0,0.0,0.0,UNKNOWN
46,0.0,0.0,0.0,0.0,UNKNOWN
