Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.493,249.1,1866.5063,0.0,IDLE
0.5,7.493,249.0,1865.757,0.0,IDLE
1.0,7.493,248.5,1862.0105,0.0,IDLE
1.5,7.388,674.6,4983.9448,0.0,IDLE
2.0,7.394,623.0,4606.462,0.0,IDLE
2.5,7.397,606.4,4485.5408,0.0,IDLE
3.0,7.415,551.6,4090.114,0.0,IDLE
3.5,7.403,574.9,4255.9847,0.0,IDLE
4.0,7.403,603.2,4465.4896,0.0,IDLE
4.5,7.407,581.4,4306.4298,0.0,IDLE
5.0,7.243,594.5,4305.9635,0.0,IDLE
5.5,7.406,600.4,4446.5624,0.0,IDLE
6.0,7.399,1225.8,9069.6942,0.0,IDLE
6.5,7.402,596.6,4416.0332,0.0,IDLE
7.0,7.399,596.1,4410.543900000001,0.0,IDLE
7.5,7.403,582.2,4310.0266,0.0,IDLE
8.0,7.403,594.0,4397.382,0.0,IDLE
8.5,7.348,630.1,4629.9748,0.0,IDLE
9.0,7.397,610.4,4515.1288,0.0,IDLE
9.5,7.332,1327.1,9730.297199999999,0.0,IDLE
10.0,7.411,548.9,4067.8978999999995,0.0,IDLE
10.5,7.403,582.0,4308.545999999999,0.0,IDLE
11.0,7.401,1287.0,9525.087,0.0,IDLE
11.5,7.398,588.0,4350.023999999999,0.0,IDLE
12.0,7.406,579.5,4291.777,0.0,IDLE
12.5,7.399,596.9,4416.4631,0.0,IDLE
13.0,7.399,592.3,4382.427699999999,0.0,IDLE
13.5,7.485,252.2,1887.717,0.0,IDLE
14.0,7.485,251.5,1882.4775000000002,0.0,IDLE
14.5,7.489,249.7,1870.0032999999999,0.0,IDLE
15.0,7.489,250.1,1872.9988999999998,0.0,IDLE
15.5,7.489,249.9,1871.5011,0.0,IDLE
16.0,7.485,249.7,1869.0045,0.0,IDLE
16.5,7.489,250.2,1873.7477999999999,0.0,IDLE
17.0,7.489,249.7,1870.0032999999999,0.0,IDLE
17.5,7.485,250.7,1876.4895,0.0,IDLE
18.0,7.489,249.6,1869.2544,0.0,IDLE
18.5,7.489,249.6,1869.2544,0.0,IDLE
19.0,7.489,250.1,1872.9988999999998,0.0,IDLE
19.5,7.489,250.2,1873.7477999999999,0.0,IDLE
20.0,7.489,250.8,1878.2412000000002,0.0,IDLE
20.5,7.489,249.7,1870.0032999999999,0.0,IDLE
21.0,7.489,249.5,1868.5055,0.0,IDLE
21.5,7.489,249.2,1866.2587999999998,0.0,IDLE
22.0,7.489,249.4,1867.7566,0.0,IDLE
22.5,7.488,249.6,1869.0048000000002,0.0,IDLE
23.0,7.492,249.8,1871.5016,0.0,IDLE
23.5,7.492,249.7,1870.7523999999999,0.0,IDLE
24.0,7.488,249.4,1867.5072000000002,0.0,IDLE
24.5,7.496,248.5,1862.756,0.0,IDLE
25.0,7.492,246.2,1844.5303999999999,0.0,IDLE
25.5,7.496,244.3,1831.2728000000002,0.0,IDLE
26.0,7.492,244.4,1831.0448000000001,0.0,IDLE
26.5,7.489,244.5,1831.0605,0.0,IDLE
27.0,7.492,245.4,1838.5368,0.0,IDLE
27.5,7.436,452.7,3366.2772,0.0,IDLE
28.0,7.444,441.4,3285.7816,0.0,IDLE
28.5,7.44,435.4,3239.376,0.0,IDLE
29.0,7.442,420.9,3132.3378,0.0,IDLE
29.5,7.439,424.6,3158.5994,0.0,IDLE
30.0,7.439,431.1,3206.9529,0.0,IDLE
30.5,7.311,926.6,6774.3726,0.0,IDLE
31.0,7.436,431.5,3208.634,0.0,IDLE
31.5,7.27,432.3,3142.821,0.0,IDLE
32.0,7.444,431.3,3210.5972,0.0,IDLE
32.5,7.294,433.0,3158.3019999999997,0.0,IDLE
33.0,7.435,1266.0,9412.71,0.0,IDLE
33.5,7.293,1043.2,7608.0576,0.0,IDLE
34.0,7.444,428.3,3188.2652000000003,0.0,IDLE
34.5,7.443,431.0,3207.933,0.0,IDLE
35.0,7.439,432.9,3220.3431,0.0,IDLE
35.5,7.444,417.5,3107.87,0.0,IDLE
36.0,7.443,436.4,3248.1251999999995,0.0,IDLE
36.5,7.439,423.0,3146.697,0.0,IDLE
37.0,7.443,437.3,3254.8239,0.0,IDLE
37.5,7.443,436.1,3245.8923,0.0,IDLE
38.0,7.439,434.2,3230.0137999999997,0.0,IDLE
38.5,7.44,438.1,3259.4640000000004,0.0,IDLE
39.0,7.489,250.4,1875.2456,0.0,IDLE
39.5,7.489,249.9,1871.5011,0.0,IDLE
40.0,7.489,250.1,1872.9988999999998,0.0,IDLE
40.5,7.489,249.8,1870.7522000000001,0.0,IDLE
41.0,7.489,249.5,1868.5055,544.4999999999999,IDLE
41.5,7.455,383.0,2855.265,0.0,IDLE
42.0,7.459,381.9,2848.5921,0.0,IDLE
42.5,7.451,382.3,2848.5173,0.0,IDLE
43.0,7.455,377.1,2811.2805000000003,0.0,IDLE
43.5,7.451,379.7,2829.1447,0.0,IDLE
44.0,7.455,381.8,2846.319,0.0,IDLE
44.5,7.451,382.1,2847.0271000000002,0.0,IDLE
45.0,7.455,378.1,2818.7355000000002,0.0,IDLE
45.5,7.455,383.8,2861.2290000000003,0.0,IDLE
46.0,7.451,382.0,2846.2819999999997,0.0,IDLE
46.5,7.455,375.2,2797.116,0.0,IDLE
47.0,7.455,381.7,2845.5735,0.0,IDLE
47.5,7.451,378.1,2817.2231,0.0,IDLE
48.0,7.455,381.3,2842.5915,0.0,IDLE
48.5,7.455,382.0,2847.81,0.0,IDLE
49.0,7.451,377.8,2814.9878,0.0,IDLE
49.5,7.456,381.8,2846.7008,0.0,IDLE
50.0,7.455,378.0,2817.9900000000002,0.0,IDLE
50.5,7.456,381.4,2843.7184,0.0,IDLE
51.0,7.451,378.7,2821.6937,0.0,IDLE
51.5,7.455,381.8,2846.319,0.0,IDLE
52.0,7.451,402.0,2995.3019999999997,0.0,IDLE
52.5,7.455,382.3,2850.0465,0.0,IDLE
53.0,7.447,381.8,2843.2646,0.0,IDLE
53.5,7.451,381.6,2843.3016000000002,0.0,IDLE
54.0,7.451,382.1,2847.0271000000002,0.0,IDLE
54.5,7.455,381.8,2846.319,0.0,IDLE
55.0,7.447,381.3,2839.5411,0.0,IDLE
55.5,7.455,381.6,2844.828,0.0,IDLE
56.0,7.451,381.3,2841.0663,0.0,IDLE
56.5,7.455,382.0,2847.81,0.0,IDLE
57.0,7.45,381.2,2839.94,0.0,IDLE
