Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.323,378.1,2768.8263,1453.3952709067016,IDLE
0.5,7.323,374.4,2741.7312,1572.1306833046992,IDLE
1.0,7.324,373.9,2738.4435999999996,1597.599249040016,IDLE
1.5,7.253,615.4,4463.4962,1429.1080447800002,DRIVING
2.0,7.263,603.8,4385.399399999999,1569.8255066596878,DRIVING
2.5,7.263,589.8,4283.7173999999995,1534.3115375273578,DRIVING
3.0,7.26,590.6,4287.756,1464.5025692310721,DRIVING
3.5,7.256,589.3,4275.9608,1464.5025692310721,DRIVING
4.0,7.259,637.9,4630.5161,1424.7141717618483,DRIVING
4.5,7.256,601.8,4366.6608,1500.3300542258883,DRIVING
5.0,7.251,608.5,4412.2335,1296.0437101679277,DRIVING
5.5,7.264,590.4,4288.6656,1550.299789481592,DRIVING
6.0,7.255,602.6,4371.863,1580.212120172718,DRIVING
6.5,7.256,597.2,4333.283200000001,1352.1224595020356,DRIVING
7.0,7.369,583.1,4296.8639,1550.299789481592,DRIVING
7.5,7.288,597.2,4352.3936,1515.0086428165996,DRIVING
8.0,7.26,597.1,4334.946,1431.3075181672616,DRIVING
8.5,7.003,1321.1,9251.6633,1490.2098129223868,DRIVING
9.0,7.255,604.5,4385.6475,1519.5395072567956,DRIVING
9.5,6.974,1382.3,9640.1602,1377.9072893845394,DRIVING
10.0,7.26,604.2,4386.492,1354.2618934388956,DRIVING
10.5,7.26,607.2,4408.272,1560.6217126008798,DRIVING
11.0,7.264,590.6,4290.1184,1511.614934023278,DRIVING
11.5,7.264,598.7,4348.956800000001,1354.2618934388956,DRIVING
12.0,7.008,1333.4,9344.467200000001,1503.711078628279,DRIVING
12.5,6.999,1369.4,9584.4306,1451.1788849982004,DRIVING
13.0,7.02,1374.0,9645.48,1541.153497995,DRIVING
13.5,6.978,1384.3,9659.6454,1362.8365417075759,DRIVING
14.0,7.262,599.8,4355.7476,1362.8365417075759,DRIVING
14.5,7.26,598.4,4344.384,1399.5806853535994,DRIVING
15.0,7.26,599.6,4353.0960000000005,1362.8365417075759,DRIVING
15.5,7.256,605.4,4392.7824,1425.8120057968392,DRIVING
16.0,7.256,592.9,4302.0824,1372.5153662067119,DRIVING
16.5,7.259,586.0,4253.774,1322.3479658590154,DRIVING
17.0,7.26,606.0,4399.5599999999995,1326.5811699253877,DRIVING
17.5,7.26,605.0,4392.3,1299.1862680208355,DRIVING
18.0,7.256,600.7,4358.6792000000005,1472.3028354334756,DRIVING
18.5,7.256,603.0,4375.368,1421.4232065350593,DRIVING
19.0,7.268,592.7,4307.7436,1320.2339007040155,DRIVING
19.5,7.256,610.7,4431.239200000001,1378.986942459198,DRIVING
20.0,7.267,592.0,4302.064,1475.6521488585418,DRIVING
20.5,7.256,593.1,4303.533600000001,1405.025460160302,DRIVING
21.0,7.259,592.5,4300.9575,1355.332244626872,DRIVING
21.5,7.056,578.8,4084.0127999999995,1391.975758771518,DRIVING
22.0,7.259,588.3,4270.4697,1414.85269203332,DRIVING
22.5,7.259,594.4,4314.7496,1439.0189936331553,DRIVING
23.0,7.304,572.2,4179.348800000001,1437.916085841792,DRIVING
23.5,7.258,591.9,4296.0102,1287.6821596668722,DRIVING
24.0,7.254,607.2,4404.6288,1417.0411722817755,DRIVING
24.5,7.182,905.5,6503.301,1252.4474585415182,DRIVING
25.0,7.147,917.6,6558.0872,1270.0037126212155,DRIVING
25.5,7.185,836.6,6010.971,1231.949482798638,DRIVING
26.0,7.244,747.0,5411.268,1362.8365417075759,DRIVING
26.5,7.039,1326.6,9337.937399999999,1233.991669738368,DRIVING
27.0,7.07,1212.3,8570.961,1407.2063297742,DRIVING
27.5,7.259,585.8,4252.3222,1311.7945526052556,DRIVING
28.0,7.038,1281.8,9021.3084,1338.257363182968,DRIVING
28.5,7.064,941.6,6651.4624,1263.7934348218876,DRIVING
29.0,7.017,1338.3,9390.8511,1231.949482798638,DRIVING
29.5,7.256,599.4,4349.2464,1263.7934348218876,DRIVING
30.0,7.039,1295.8,9121.136199999999,1242.177330018528,DRIVING
30.5,7.256,597.3,4334.0088,1356.4030186278792,DRIVING
31.0,7.259,594.0,4311.8460000000005,1358.5458350689878,DRIVING
31.5,7.268,601.7,4373.1556,1362.8365417075759,DRIVING
32.0,7.27,594.3,4320.561,1326.5811699253877,DRIVING
32.5,7.254,589.0,4272.606,1362.8365417075759,DRIVING
33.0,7.267,582.5,4233.0275,1375.7492516743157,DRIVING
33.5,7.258,596.6,4330.1228,1400.668794688878,DRIVING
34.0,7.258,587.3,4262.6233999999995,1171.4703068443978,DRIVING
34.5,7.255,593.7,4307.293500000001,1243.2024402121874,DRIVING
35.0,7.215,1172.4,8458.866,1193.469268847328,DRIVING
35.5,7.111,1345.4,9567.1394,1268.96760928875,DRIVING
36.0,7.271,591.0,4297.161,1393.0609084155797,DRIVING
