Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.839,153.0,1199.367,0.0,IDLE
0.5,7.839,155.1,1215.8289,0.0,IDLE
1.0,7.86,81.3,639.018,0.0,IDLE
1.5,7.86,81.7,642.162,0.0,IDLE
2.0,7.835,188.4,1476.114,0.0,IDLE
2.5,7.839,154.4,1210.3416000000002,0.0,IDLE
3.0,7.839,155.7,1220.5323,0.0,IDLE
3.5,7.86,81.0,636.6600000000001,0.0,IDLE
4.0,7.863,74.5,585.7935,0.0,IDLE
4.5,7.843,148.4,1163.9012,0.0,IDLE
5.0,7.843,148.3,1163.1169,0.0,IDLE
5.5,7.843,147.6,1157.6268,0.0,IDLE
6.0,7.843,147.9,1159.9797,0.0,IDLE
6.5,7.843,147.0,1152.921,0.0,IDLE
7.0,7.859,73.7,579.2083,0.0,IDLE
7.5,7.835,188.3,1475.3305,0.0,IDLE
8.0,7.839,154.3,1209.5577,0.0,IDLE
8.5,7.839,155.3,1217.3967000000002,0.0,IDLE
9.0,7.856,81.1,637.1216,0.0,IDLE
9.5,7.86,80.8,635.088,0.0,IDLE
10.0,7.835,188.2,1474.5469999999998,0.0,IDLE
10.5,7.836,175.2,1372.8672,0.0,IDLE
11.0,7.839,154.5,1211.1255,0.0,IDLE
11.5,7.86,81.6,641.376,0.0,IDLE
12.0,7.86,81.5,640.59,0.0,IDLE
12.5,7.831,188.8,1478.4928000000002,0.0,IDLE
13.0,7.832,200.1,1567.1832,0.0,IDLE
13.5,7.843,154.8,1214.0964000000001,0.0,IDLE
14.0,7.843,154.6,1212.5277999999998,0.0,IDLE
14.5,7.86,81.4,639.8040000000001,0.0,IDLE
15.0,7.859,74.5,585.4955,0.0,IDLE
15.5,7.863,74.3,584.2209,0.0,IDLE
16.0,7.843,148.3,1163.1169,0.0,IDLE
16.5,7.843,152.4,1195.2732,0.0,IDLE
17.0,7.843,147.4,1156.0582,0.0,IDLE
17.5,7.86,80.6,633.516,0.0,IDLE
18.0,7.86,81.2,638.2320000000001,0.0,IDLE
18.5,7.859,74.1,582.3519,0.0,IDLE
19.0,7.863,74.0,581.8620000000001,0.0,IDLE
19.5,7.86,81.1,637.446,0.0,IDLE
20.0,7.831,185.5,1452.6505,0.0,IDLE
20.5,7.843,150.4,1179.5872,0.0,IDLE
21.0,7.843,152.0,1192.136,0.0,IDLE
21.5,7.86,81.0,636.6600000000001,0.0,IDLE
22.0,7.86,81.7,642.162,0.0,IDLE
22.5,7.83,184.8,1446.9840000000002,0.0,IDLE
23.0,7.843,153.2,1201.5475999999999,0.0,IDLE
23.5,7.843,154.1,1208.6063,0.0,IDLE
24.0,7.86,81.5,640.59,0.0,IDLE
24.5,7.86,81.5,640.59,0.0,IDLE
25.0,7.835,186.8,1463.578,0.0,IDLE
25.5,7.831,188.8,1478.4928000000002,0.0,IDLE
26.0,7.843,154.1,1208.6063,0.0,IDLE
26.5,7.86,80.9,635.874,0.0,IDLE
27.0,7.864,80.3,631.4792,0.0,IDLE
27.5,7.834,183.2,1435.1888,0.0,IDLE
28.0,7.834,183.6,1438.3223999999998,0.0,IDLE
28.5,7.847,152.6,1197.4522,0.0,IDLE
29.0,7.86,80.9,635.874,0.0,IDLE
29.5,7.86,81.3,639.018,0.0,IDLE
30.0,7.834,184.5,1445.3729999999998,0.0,IDLE
30.5,7.838,182.8,1432.7864000000002,0.0,IDLE
31.0,7.843,151.9,1191.3517,0.0,IDLE
31.5,7.864,81.1,637.7704,0.0,IDLE
32.0,7.864,80.7,634.6248,0.0,IDLE
32.5,7.834,183.2,1435.1888,0.0,IDLE
33.0,7.834,182.0,1425.788,0.0,IDLE
33.5,7.843,151.8,1190.5674000000001,0.0,IDLE
34.0,7.86,80.6,633.516,0.0,IDLE
34.5,7.86,80.6,633.516,0.0,IDLE
35.0,7.834,183.5,1437.539,0.0,IDLE
35.5,7.838,182.1,1427.2998,0.0,IDLE
36.0,7.847,152.6,1197.4522,0.0,IDLE
36.5,7.86,81.1,637.446,0.0,IDLE
37.0,7.864,81.1,637.7704,0.0,IDLE
37.5,7.834,183.2,1435.1888,0.0,IDLE
38.0,7.843,151.4,1187.4302,0.0,IDLE
38.5,7.843,153.2,1201.5475999999999,0.0,IDLE
39.0,7.864,81.5,640.9159999999999,0.0,IDLE
39.5,7.86,80.9,635.874,0.0,IDLE
40.0,7.838,183.0,1434.354,0.0,IDLE
40.5,7.724,569.4,4398.0456,0.0,DRIVING
41.0,7.738,518.6,4012.9268,0.0,DRIVING
41.5,7.77,420.9,3270.3929999999996,0.0,DRIVING
42.0,7.729,566.0,4374.6140000000005,0.0,DRIVING
42.5,7.752,558.6,4330.2672,0.0,DRIVING
43.0,7.752,530.2,4110.1104000000005,0.0,DRIVING
43.5,7.754,501.4,3887.8555999999994,0.0,DRIVING
44.0,7.757,420.3,3260.2671,0.0,DRIVING
44.5,7.731,598.0,4623.138,0.0,DRIVING
45.0,7.707,698.5,5383.3395,0.0,DRIVING
45.5,7.705,647.0,4985.135,0.0,DRIVING
46.0,7.744,677.0,5242.688,0.0,DRIVING
46.5,7.705,651.7,5021.3485,0.0,DRIVING
47.0,7.71,658.8,5079.348,0.0,DRIVING
47.5,7.731,545.5,4217.2605,0.0,DRIVING
48.0,7.86,84.4,663.3840000000001,0.0,IDLE
48.5,7.856,81.7,641.8352,0.0,IDLE
49.0,7.83,184.4,1443.852,0.0,IDLE
49.5,7.813,251.6,1965.7507999999998,0.0,IDLE
50.0,7.813,250.6,1957.9378,0.0,IDLE
50.5,7.86,82.0,644.52,0.0,IDLE
51.0,7.83,183.6,1437.588,0.0,IDLE
51.5,7.834,184.0,1441.456,0.0,IDLE
52.0,7.839,152.7,1197.0153,0.0,IDLE
52.5,7.86,80.9,635.874,0.0,IDLE
53.0,7.86,80.6,633.516,0.0,IDLE
53.5,7.834,183.7,1439.1057999999998,0.0,IDLE
54.0,7.839,152.3,1193.8797000000002,0.0,IDLE
54.5,7.861,152.3,1197.2303,0.0,IDLE
55.0,7.86,81.5,640.59,0.0,IDLE
55.5,7.86,80.7,634.302,0.0,IDLE
56.0,7.835,187.3,1467.4955,0.0,IDLE
56.5,7.839,153.9,1206.4221,0.0,IDLE
57.0,7.843,153.9,1207.0377,0.0,IDLE
57.5,7.86,81.8,642.948,0.0,IDLE
58.0,7.86,81.4,639.8040000000001,0.0,IDLE
58.5,7.834,184.8,1447.7232000000001,0.0,IDLE
59.0,7.843,151.7,1189.7830999999999,0.0,IDLE
59.5,7.843,152.0,1192.136,0.0,IDLE
60.0,7.864,80.5,633.052,0.0,IDLE
60.5,7.864,80.5,633.052,0.0,IDLE
61.0,7.834,182.9,1432.8386,0.0,IDLE
