Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.275,385.9,2807.4225,0.0,IDLE
0.5,7.275,383.1,2787.0525000000002,0.0,IDLE
1.0,7.27,391.0,2842.5699999999997,0.0,IDLE
1.5,7.275,386.9,2814.6974999999998,0.0,IDLE
2.0,7.275,386.5,2811.7875000000004,0.0,IDLE
2.5,7.208,763.7,5504.7496,0.0,DRIVING
3.0,7.214,597.8,4312.5292,0.0,DRIVING
3.5,7.057,1141.8,8057.6826,0.0,DRIVING
4.0,7.217,586.7,4234.2139,0.0,DRIVING
4.5,7.213,606.1,4371.799300000001,0.0,DRIVING
5.0,7.218,589.0,4251.402,0.0,DRIVING
5.5,6.945,1207.5,8386.0875,0.0,DRIVING
6.0,7.01,1016.4,7124.964,0.0,DRIVING
