Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,6.247,399.7,2496.9258999999997,0.0,IDLE
0.5,6.247,382.4,2388.8527999999997,0.0,IDLE
1.0,6.243,380.8,2377.3344,0.0,IDLE
1.5,6.239,381.0,2377.0589999999997,0.0,IDLE
2.0,6.239,381.2,2378.3068,0.0,IDLE
2.5,6.243,382.0,2384.826,0.0,IDLE
3.0,6.239,382.0,2383.298,0.0,IDLE
3.5,6.235,381.4,2378.029,0.0,IDLE
4.0,6.231,380.5,2370.8955,0.0,IDLE
4.5,6.235,385.4,2402.969,0.0,IDLE
5.0,6.231,381.5,2377.1265,0.0,IDLE
5.5,6.231,382.0,2380.2419999999997,0.0,IDLE
6.0,6.227,382.1,2379.3367000000003,0.0,IDLE
6.5,6.227,381.7,2376.8459000000003,0.0,IDLE
7.0,6.231,383.0,2386.473,0.0,IDLE
7.5,6.227,382.4,2381.2048,0.0,IDLE
8.0,6.223,381.0,2370.9629999999997,0.0,IDLE
8.5,6.223,380.5,2367.8514999999998,0.0,IDLE
9.0,6.227,394.7,2457.7969000000003,0.0,IDLE
9.5,6.223,378.2,2353.5386,0.0,IDLE
10.0,6.223,377.4,2348.5602,0.0,IDLE
10.5,6.211,375.3,2330.9883,0.0,IDLE
11.0,6.215,375.5,2333.7325,0.0,IDLE
11.5,6.219,376.7,2342.6973000000003,0.0,IDLE
12.0,6.215,376.5,2339.9474999999998,0.0,IDLE
12.5,6.211,374.9,2328.5039,0.0,IDLE
13.0,6.211,376.1,2335.9571,0.0,IDLE
13.5,6.215,378.9,2354.8635,0.0,IDLE
14.0,6.211,377.9,2347.1369,0.0,IDLE
14.5,6.203,382.3,2371.4069000000004,0.0,IDLE
15.0,6.203,376.6,2336.0498000000002,0.0,IDLE
15.5,6.199,381.3,2363.6787,0.0,IDLE
16.0,6.204,388.4,2409.6335999999997,0.0,IDLE
16.5,6.203,384.2,2383.1926,0.0,IDLE
17.0,6.195,383.0,2372.685,0.0,IDLE
17.5,6.195,383.2,2373.924,0.0,IDLE
18.0,6.195,383.6,2376.402,0.0,IDLE
18.5,6.196,387.8,2402.8088,0.0,IDLE
19.0,6.191,382.6,2368.6766000000002,0.0,IDLE
19.5,6.191,382.2,2366.2001999999998,0.0,IDLE
20.0,6.191,381.3,2360.6283,0.0,IDLE
