Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
221.5,7.797,384.0,2994.048,0.0,IDLE
222.0,7.795,402.7,3139.0465,0.0,IDLE
222.5,7.795,380.5,2965.9975,0.0,IDLE
223.0,7.793,376.8,2936.4024,0.0,IDLE
223.5,7.797,387.8,3023.6766,0.0,IDLE
224.0,7.796,380.2,2964.0392,0.0,IDLE
224.5,7.792,380.1,2961.7392,0.0,IDLE
225.0,7.792,382.8,2982.7776,0.0,IDLE
225.5,7.792,387.5,3019.4,0.0,IDLE
226.0,7.791,384.4,2994.8604,0.0,IDLE
226.5,7.788,380.4,2962.5552,0.0,IDLE
227.0,7.794,390.1,3040.4394,0.0,IDLE
227.5,7.791,389.3,3033.0363,0.0,IDLE
228.0,7.792,382.3,2978.8816,0.0,IDLE
228.5,7.788,390.6,3041.9928000000004,0.0,IDLE
229.0,7.798,386.3,3012.3674,0.0,IDLE
229.5,7.792,385.6,3004.5952,0.0,IDLE
230.0,7.792,384.0,2992.1279999999997,0.0,IDLE
230.5,7.792,390.6,3043.5552000000002,0.0,IDLE
231.0,7.792,389.2,3032.6463999999996,0.0,IDLE
231.5,7.792,387.9,3022.5168,0.0,IDLE
232.0,7.796,390.1,3041.2196000000004,0.0,IDLE
232.5,7.796,391.2,3049.7952,0.0,IDLE
233.0,7.792,381.6,2973.4272,0.0,IDLE
233.5,7.788,388.4,3024.8592,0.0,IDLE
234.0,7.792,391.3,3049.0096,0.0,IDLE
234.5,7.791,390.6,3043.1646000000005,0.0,IDLE
235.0,7.792,389.1,3031.8672,0.0,IDLE
235.5,7.792,390.7,3044.3343999999997,0.0,IDLE
236.0,7.791,390.7,3043.9437000000003,0.0,IDLE
236.5,7.788,386.0,3006.168,0.0,IDLE
237.0,7.792,389.8,3037.3216,0.0,IDLE
237.5,7.792,386.8,3013.9456,0.0,IDLE
238.0,7.788,395.3,3078.5964000000004,0.0,IDLE
238.5,7.792,388.7,3028.7504,0.0,IDLE
239.0,7.796,390.5,3044.338,0.0,IDLE
239.5,7.792,392.1,3055.2432,0.0,IDLE
240.0,7.788,383.7,2988.2556,0.0,IDLE
240.5,7.788,391.2,3046.6656,0.0,IDLE
241.0,7.792,406.7,3169.0063999999998,0.0,IDLE
241.5,7.792,386.4,3010.8288,0.0,IDLE
242.0,7.788,382.7,2980.4676,0.0,IDLE
242.5,7.792,390.8,3045.1136,0.0,IDLE
243.0,7.791,390.5,3042.3855000000003,0.0,IDLE
243.5,7.792,384.2,2993.6864,0.0,IDLE
244.0,7.788,394.5,3072.366,0.0,IDLE
244.5,7.792,390.6,3043.5552000000002,0.0,IDLE
245.0,7.792,387.5,3019.4,0.0,IDLE
245.5,7.788,384.6,2995.2648000000004,0.0,IDLE
246.0,7.792,391.1,3047.4512,0.0,IDLE
246.5,7.792,391.1,3047.4512,0.0,IDLE
247.0,7.788,396.1,3084.8268000000003,0.0,IDLE
247.5,7.792,392.1,3055.2432,0.0,IDLE
248.0,7.792,390.8,3045.1136,0.0,IDLE
248.5,7.792,411.6,3207.1872000000003,0.0,IDLE
249.0,7.792,387.5,3019.4,0.0,IDLE
249.5,7.792,392.7,3059.9184,0.0,IDLE
