Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
55.5,7.396,383.8,2838.5848,0.0,IDLE
56.0,7.396,383.5,2836.366,0.0,IDLE
56.5,7.396,383.1,2833.4076,0.0,IDLE
57.0,7.396,383.7,2837.8451999999997,0.0,IDLE
57.5,7.392,383.6,2835.5712000000003,0.0,IDLE
58.0,7.392,384.6,2842.9632,0.0,IDLE
58.5,7.396,385.0,2847.46,0.0,IDLE
59.0,7.395,383.7,2837.4615,0.0,IDLE
59.5,7.395,383.9,2838.9404999999997,0.0,IDLE
60.0,7.392,383.6,2835.5712000000003,0.0,IDLE
60.5,7.392,385.0,2845.92,0.0,IDLE
61.0,7.252,888.0,6439.776,0.0,IDLE
61.5,7.291,804.6,5866.3386,0.0,IDLE
62.0,7.297,772.0,5633.284,0.0,IDLE
62.5,7.118,1459.3,10387.2974,0.0,IDLE
63.0,7.29,745.5,5434.695,0.0,IDLE
63.5,7.119,1427.2,10160.2368,0.0,IDLE
64.0,7.388,391.5,2892.402,0.0,IDLE
64.5,7.392,390.3,2885.0976,0.0,IDLE
65.0,7.392,388.9,2874.7488,0.0,IDLE
65.5,7.388,390.0,2881.32,0.0,IDLE
66.0,7.392,389.7,2880.6624,0.0,IDLE
66.5,7.392,389.8,2881.4016,0.0,IDLE
67.0,7.392,392.0,2897.664,0.0,IDLE
67.5,7.388,388.9,2873.1931999999997,0.0,IDLE
68.0,7.388,389.4,2876.8871999999997,0.0,IDLE
68.5,7.388,389.0,2873.932,0.0,IDLE
69.0,7.392,390.7,2888.0544,0.0,IDLE
69.5,7.392,389.6,2879.9232,0.0,IDLE
70.0,7.388,391.7,2893.8795999999998,0.0,IDLE
70.5,7.392,390.2,2884.3584,0.0,IDLE
71.0,7.391,389.5,2878.7945,0.0,IDLE
71.5,7.391,387.5,2864.0125,0.0,IDLE
72.0,7.392,385.9,2852.5728,0.0,IDLE
72.5,7.392,384.4,2841.4848,0.0,IDLE
73.0,7.387,392.7,2900.8749,0.0,IDLE
73.5,7.391,384.6,2842.5786000000003,0.0,IDLE
74.0,7.391,385.5,2849.2305,0.0,IDLE
74.5,7.391,384.0,2838.1440000000002,0.0,IDLE
75.0,7.395,381.4,2820.4529999999995,0.0,IDLE
75.5,7.386,380.6,2811.1116,0.0,IDLE
76.0,7.395,381.7,2822.6715,0.0,IDLE
76.5,7.392,382.1,2824.4832,0.0,IDLE
77.0,7.397,384.8,2846.3656,0.0,IDLE
77.5,7.396,383.0,2832.668,0.0,IDLE
78.0,7.396,386.8,2860.7728,0.0,IDLE
78.5,7.266,881.0,6401.3460000000005,0.0,IDLE
79.0,7.127,1391.1,9914.3697,0.0,IDLE
79.5,7.299,771.6,5631.9084,0.0,IDLE
80.0,7.303,763.5,5575.8405,0.0,IDLE
80.5,7.303,746.0,5448.038,0.0,IDLE
81.0,7.2,1125.9,8106.4800000000005,0.0,IDLE
81.5,7.262,858.7,6235.8794,0.0,IDLE
82.0,7.238,941.0,6810.9580000000005,0.0,IDLE
82.5,7.241,939.0,6799.299,0.0,IDLE
83.0,7.236,957.2,6926.2992,0.0,IDLE
83.5,7.388,391.8,2894.6184,0.0,IDLE
84.0,7.388,389.1,2874.6708000000003,0.0,IDLE
84.5,7.388,387.0,2859.156,0.0,IDLE
85.0,7.388,385.9,2851.0292,0.0,IDLE
85.5,7.392,385.2,2847.3984,0.0,IDLE
86.0,7.387,386.4,2854.3367999999996,0.0,IDLE
86.5,7.387,386.0,2851.3819999999996,0.0,IDLE
87.0,7.384,384.9,2842.1016,0.0,IDLE
87.5,7.388,388.4,2869.4991999999997,0.0,IDLE
88.0,7.388,392.5,2899.79,0.0,IDLE
88.5,7.388,391.0,2888.708,0.0,IDLE
89.0,7.392,391.3,2892.4896000000003,0.0,IDLE
89.5,7.392,410.2,3032.1984,0.0,IDLE
90.0,7.392,387.8,2866.6176,0.0,IDLE
90.5,7.388,386.3,2853.9844,0.0,IDLE
91.0,7.387,385.3,2846.2111,0.0,IDLE
91.5,7.388,385.7,2849.5516,0.0,IDLE
92.0,7.388,384.0,2836.992,0.0,IDLE
92.5,7.388,388.2,2868.0216,0.0,IDLE
93.0,7.388,390.1,2882.0588000000002,0.0,IDLE
93.5,7.392,392.1,2898.4032,0.0,IDLE
94.0,7.388,390.7,2886.4916,0.0,IDLE
94.5,7.388,390.4,2884.2751999999996,0.0,IDLE
95.0,7.388,390.3,2883.5364,0.0,IDLE
95.5,7.392,387.9,2867.3568,0.0,IDLE
96.0,7.391,387.3,2862.5343000000003,0.0,IDLE
96.5,7.391,387.1,2861.0561000000002,0.0,IDLE
97.0,7.384,385.5,2846.532,0.0,IDLE
97.5,7.388,384.0,2836.992,0.0,IDLE
98.0,7.392,384.9,2845.1808,0.0,IDLE
98.5,7.388,388.6,2870.9768,0.0,IDLE
99.0,7.335,603.5,4426.6725,0.0,IDLE
99.5,7.364,494.8,3643.7072,0.0,IDLE
100.0,7.367,476.8,3512.5856,0.0,IDLE
100.5,7.403,328.3,2430.4049,0.0,IDLE
101.0,7.392,390.0,2882.88,0.0,IDLE
101.5,7.392,391.4,2893.2288,0.0,IDLE
102.0,7.392,390.5,2886.576,0.0,IDLE
102.5,7.387,385.6,2848.4272,0.0,IDLE
103.0,7.388,384.4,2839.9471999999996,0.0,IDLE
103.5,7.388,387.9,2865.8052,0.0,IDLE
104.0,7.388,386.0,2851.768,0.0,IDLE
104.5,7.388,387.0,2859.156,0.0,IDLE
105.0,7.388,391.6,2893.1408,0.0,IDLE
105.5,7.392,389.9,2882.1408,0.0,IDLE
106.0,7.388,391.5,2892.402,0.0,IDLE
106.5,7.392,390.5,2886.576,0.0,IDLE
107.0,7.391,388.0,2867.708,0.0,IDLE
107.5,7.388,384.3,2839.2084,0.0,IDLE
