Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.609,248.6,1891.5973999999999,0.0,IDLE
0.5,7.613,248.4,1891.0692000000001,0.0,IDLE
1.0,7.609,248.6,1891.5973999999999,0.0,IDLE
1.5,7.609,248.7,1892.3582999999999,0.0,IDLE
2.0,7.605,249.7,1898.9685,0.0,IDLE
2.5,7.609,248.5,1890.8365,0.0,IDLE
3.0,7.605,248.5,1889.8425000000002,0.0,IDLE
3.5,7.605,248.7,1891.3635,0.0,IDLE
4.0,7.613,248.8,1894.1144000000002,0.0,IDLE
4.5,7.47,799.2,5970.024,0.0,DRIVING
5.0,7.493,605.2,4534.7636,0.0,DRIVING
5.5,7.503,635.3,4766.6559,0.0,DRIVING
6.0,7.504,625.4,4693.0016,0.0,DRIVING
6.5,7.504,618.9,4644.2256,0.0,DRIVING
7.0,7.508,632.8,4751.0624,0.0,DRIVING
7.5,7.498,622.3,4666.0054,0.0,DRIVING
8.0,7.508,626.0,4700.008,0.0,DRIVING
8.5,7.505,630.2,4729.651,0.0,DRIVING
9.0,7.605,251.1,1909.6155,0.0,IDLE
9.5,7.601,250.4,1903.2904,0.0,IDLE
10.0,7.605,250.2,1902.771,0.0,IDLE
10.5,7.605,250.1,1902.0105,0.0,IDLE
11.0,7.605,249.8,1899.7290000000003,0.0,IDLE
11.5,7.605,249.9,1900.4895000000001,0.0,CHARGING
12.0,7.605,250.1,1902.0105,0.0,CHARGING
12.5,7.605,250.5,1905.0525,0.0,CHARGING
13.0,7.605,249.8,1899.7290000000003,0.0,CHARGING
13.5,7.605,249.8,1899.7290000000003,0.0,CHARGING
14.0,7.605,252.3,1918.7415,0.0,CHARGING
14.5,7.605,250.3,1903.5315000000003,0.0,CHARGING
15.0,7.601,250.8,1906.3308000000002,0.0,CHARGING
15.5,7.605,250.3,1903.5315000000003,0.0,CHARGING
16.0,7.605,250.0,1901.25,0.0,CHARGING
16.5,7.609,250.5,1906.0545,0.0,CHARGING
17.0,7.601,250.1,1901.0101,0.0,CHARGING
17.5,7.605,250.1,1902.0105,0.0,CHARGING
18.0,7.605,250.1,1902.0105,0.0,CHARGING
18.5,7.605,249.8,1899.7290000000003,0.0,CHARGING
19.0,7.482,680.5,5091.501,0.0,DRIVING
19.5,7.5,645.6,4842.0,0.0,DRIVING
20.0,7.5,1377.4,10330.5,0.0,DRIVING
20.5,7.357,1221.4,8985.839800000002,0.0,DRIVING
21.0,7.518,561.6,4222.1088,0.0,DRIVING
21.5,7.301,1329.5,9706.6795,0.0,DRIVING
22.0,7.364,1210.1,8911.176399999998,0.0,DRIVING
22.5,7.37,1199.0,8836.630000000001,0.0,DRIVING
23.0,7.601,761.3,5786.641299999999,0.0,IDLE
23.5,7.601,619.3,4707.2993,0.0,IDLE
24.0,7.601,485.0,3686.485,0.0,IDLE
24.5,7.601,377.3,2867.8573,0.0,IDLE
25.0,7.601,294.8,2240.7748,0.0,IDLE
25.5,7.6,254.9,1937.24,0.0,IDLE
26.0,7.6,999.1,7593.16,0.0,IDLE
26.5,7.6,981.7,7460.92,0.0,IDLE
27.0,7.6,950.9,7226.839999999999,0.0,IDLE
27.5,7.6,890.3,6766.28,0.0,IDLE
28.0,7.6,806.3,6127.879999999999,0.0,IDLE
28.5,7.6,681.9,5182.44,0.0,IDLE
29.0,7.6,555.5,4221.8,0.0,IDLE
29.5,7.596,438.2,3328.5672,0.0,IDLE
30.0,7.601,343.6,2611.7036000000003,0.0,IDLE
30.5,7.601,277.2,2106.9972,0.0,IDLE
