Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.681,247.1,1897.9750999999999,0.0,IDLE
0.5,7.677,246.6,1893.1481999999999,0.0,IDLE
1.0,7.681,247.3,1899.5113000000001,0.0,IDLE
1.5,7.677,248.4,1906.9668,0.0,IDLE
2.0,7.677,249.6,1916.1791999999998,0.0,IDLE
2.5,7.677,247.2,1897.7543999999998,0.0,IDLE
3.0,7.677,247.0,1896.2189999999998,0.0,IDLE
3.5,7.677,246.6,1893.1481999999999,0.0,IDLE
4.0,7.681,246.8,1895.6708,0.0,IDLE
4.5,7.677,247.1,1896.9867,0.0,IDLE
5.0,7.681,247.3,1899.5113000000001,0.0,IDLE
5.5,7.677,249.2,1913.1083999999998,0.0,IDLE
6.0,7.677,246.8,1894.6836,0.0,IDLE
6.5,7.681,247.0,1897.207,0.0,IDLE
7.0,7.677,246.9,1895.4513,0.0,IDLE
7.5,7.677,247.2,1897.7543999999998,0.0,IDLE
8.0,7.677,247.2,1897.7543999999998,0.0,IDLE
8.5,7.681,246.5,1893.3665,0.0,IDLE
9.0,7.677,247.1,1896.9867,0.0,IDLE
9.5,7.677,249.4,1914.6438,0.0,IDLE
10.0,7.677,247.4,1899.2898,0.0,IDLE
10.5,7.676,247.5,1899.81,0.0,IDLE
11.0,7.676,246.6,1892.9016,0.0,IDLE
11.5,7.68,246.9,1896.192,0.0,IDLE
12.0,7.68,246.8,1895.424,0.0,IDLE
12.5,7.68,243.5,1870.08,0.0,IDLE
13.0,7.68,241.6,1855.4879999999998,0.0,IDLE
13.5,7.68,244.0,1873.9199999999998,0.0,IDLE
14.0,7.68,241.3,1853.184,0.0,IDLE
14.5,7.68,241.3,1853.184,0.0,IDLE
15.0,7.68,241.6,1855.4879999999998,0.0,IDLE
15.5,7.68,241.8,1857.0240000000001,0.0,IDLE
16.0,7.681,241.6,1855.7296,0.0,IDLE
16.5,7.677,241.3,1852.4601,0.0,IDLE
17.0,7.677,242.0,1857.8339999999998,0.0,IDLE
17.5,7.677,243.5,1869.3494999999998,0.0,IDLE
18.0,7.677,247.6,1900.8251999999998,0.0,IDLE
18.5,7.677,247.8,1902.3606,0.0,IDLE
19.0,7.677,247.3,1898.5221,0.0,IDLE
19.5,7.677,247.3,1898.5221,0.0,IDLE
20.0,7.677,247.8,1902.3606,0.0,IDLE
20.5,7.677,247.8,1902.3606,0.0,IDLE
21.0,7.677,247.6,1900.8251999999998,0.0,IDLE
21.5,7.677,247.3,1898.5221,0.0,IDLE
22.0,7.677,247.1,1896.9867,0.0,IDLE
22.5,7.681,247.7,1902.5837,0.0,IDLE
23.0,7.681,248.0,1904.888,0.0,IDLE
23.5,7.677,247.7,1901.5928999999999,0.0,IDLE
24.0,7.677,249.3,1913.8761,0.0,IDLE
24.5,7.677,247.6,1900.8251999999998,0.0,IDLE
25.0,7.677,247.8,1902.3606,0.0,IDLE
25.5,7.677,247.9,1903.1282999999999,0.0,IDLE
26.0,7.677,248.1,1904.6636999999998,0.0,IDLE
26.5,7.677,248.0,1903.896,0.0,IDLE
27.0,7.681,249.2,1914.1052,0.0,IDLE
27.5,7.677,247.8,1902.3606,0.0,IDLE
28.0,7.677,251.3,1929.2301,0.0,IDLE
28.5,7.677,248.2,1905.4313999999997,0.0,IDLE
29.0,7.677,248.2,1905.4313999999997,0.0,IDLE
29.5,7.677,247.4,1899.2898,0.0,IDLE
30.0,7.677,247.9,1903.1282999999999,0.0,IDLE
30.5,7.677,248.2,1905.4313999999997,0.0,IDLE
31.0,7.677,248.9,1910.8053,0.0,IDLE
31.5,7.677,248.1,1904.6636999999998,0.0,IDLE
32.0,7.677,248.1,1904.6636999999998,0.0,IDLE
32.5,7.677,247.9,1903.1282999999999,0.0,IDLE
33.0,7.681,250.2,1921.7862,0.0,IDLE
33.5,7.677,248.1,1904.6636999999998,0.0,IDLE
34.0,7.677,248.1,1904.6636999999998,0.0,IDLE
34.5,7.673,248.1,1903.6713,0.0,IDLE
35.0,7.677,247.9,1903.1282999999999,0.0,IDLE
35.5,7.677,247.8,1902.3606,0.0,IDLE
36.0,7.677,248.2,1905.4313999999997,0.0,IDLE
36.5,7.681,253.1,1944.0611,0.0,IDLE
37.0,7.677,248.1,1904.6636999999998,0.0,IDLE
37.5,7.681,247.7,1902.5837,0.0,IDLE
38.0,7.677,247.9,1903.1282999999999,0.0,IDLE
38.5,7.677,248.0,1903.896,0.0,IDLE
39.0,7.677,248.1,1904.6636999999998,0.0,IDLE
39.5,7.681,248.6,1909.4966,0.0,IDLE
40.0,7.681,247.9,1904.1199000000001,0.0,IDLE
40.5,7.677,248.1,1904.6636999999998,0.0,IDLE
41.0,7.677,247.7,1901.5928999999999,0.0,IDLE
41.5,7.681,248.2,1906.4242,0.0,IDLE
42.0,7.677,248.3,1906.1991,0.0,IDLE
42.5,7.681,248.4,1907.9604000000002,0.0,IDLE
43.0,7.681,247.8,1903.3518000000001,0.0,IDLE
43.5,7.677,248.0,1903.896,0.0,IDLE
44.0,7.677,249.9,1918.4823,0.0,IDLE
44.5,7.677,248.5,1907.7344999999998,0.0,IDLE
45.0,7.676,250.3,1921.3028000000002,0.0,IDLE
45.5,7.684,248.0,1905.632,0.0,IDLE
46.0,7.676,248.0,1903.6480000000001,0.0,IDLE
46.5,7.68,248.2,1906.176,0.0,IDLE
47.0,7.68,243.2,1867.7759999999998,0.0,IDLE
47.5,7.68,242.6,1863.168,0.0,IDLE
48.0,7.68,242.7,1863.936,0.0,IDLE
48.5,7.68,243.5,1870.08,0.0,IDLE
49.0,7.68,242.5,1862.3999999999999,0.0,IDLE
49.5,7.68,242.4,1861.632,0.0,IDLE
50.0,7.68,242.6,1863.168,0.0,IDLE
50.5,7.677,242.9,1864.7432999999999,0.0,IDLE
51.0,7.681,242.3,1861.1063000000001,0.0,IDLE
51.5,7.681,243.7,1871.8597,0.0,IDLE
52.0,7.677,244.5,1877.0265,0.0,IDLE
52.5,7.677,248.1,1904.6636999999998,0.0,IDLE
53.0,7.677,248.6,1908.5022,0.0,IDLE
53.5,7.677,248.8,1910.0375999999999,0.0,IDLE
54.0,7.677,247.9,1903.1282999999999,0.0,IDLE
54.5,7.677,248.6,1908.5022,0.0,IDLE
55.0,7.677,248.4,1906.9668,0.0,IDLE
55.5,7.681,248.2,1906.4242,0.0,IDLE
56.0,7.681,249.1,1913.3371,0.0,IDLE
56.5,7.677,248.0,1903.896,0.0,IDLE
57.0,7.677,248.4,1906.9668,0.0,IDLE
57.5,7.677,248.5,1907.7344999999998,0.0,IDLE
58.0,7.677,248.5,1907.7344999999998,0.0,IDLE
58.5,7.677,248.9,1910.8053,0.0,IDLE
59.0,7.677,248.6,1908.5022,0.0,IDLE
59.5,7.677,248.8,1910.0375999999999,0.0,IDLE
60.0,7.677,248.6,1908.5022,0.0,IDLE
60.5,7.677,250.3,1921.5531,0.0,IDLE
61.0,7.677,248.9,1910.8053,0.0,IDLE
61.5,7.677,248.9,1910.8053,0.0,IDLE
62.0,7.677,249.2,1913.1083999999998,0.0,IDLE
62.5,7.681,248.6,1909.4966,0.0,IDLE
63.0,7.677,249.0,1911.5729999999999,0.0,IDLE
63.5,7.677,248.9,1910.8053,0.0,IDLE
64.0,7.677,249.7,1916.9469,0.0,IDLE
