Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
164.0,7.803,155.0,1209.465,0.0,IDLE
164.5,7.82,81.8,639.676,0.0,IDLE
165.0,7.82,81.7,638.894,0.0,IDLE
165.5,7.791,190.2,1481.8482,0.0,IDLE
166.0,7.795,189.7,1478.7115,0.0,IDLE
166.5,7.803,154.9,1208.6847,0.0,IDLE
167.0,7.82,81.7,638.894,0.0,IDLE
167.5,7.82,81.7,638.894,0.0,IDLE
168.0,7.82,76.7,599.7940000000001,0.0,IDLE
168.5,7.795,189.8,1479.491,0.0,IDLE
169.0,7.803,154.9,1208.6847,0.0,IDLE
169.5,7.803,155.0,1209.465,0.0,IDLE
170.0,7.82,81.7,638.894,0.0,IDLE
170.5,7.824,81.7,639.2208,0.0,IDLE
171.0,7.795,190.2,1482.609,0.0,IDLE
171.5,7.803,153.5,1197.7605,0.0,IDLE
172.0,7.803,152.3,1188.3969000000002,0.0,IDLE
172.5,7.82,81.9,640.4580000000001,0.0,IDLE
173.0,7.824,81.8,640.0032,0.0,IDLE
173.5,7.795,189.0,1473.2549999999999,0.0,IDLE
174.0,7.803,154.7,1207.1241,0.0,IDLE
174.5,7.803,154.8,1207.9044000000001,0.0,IDLE
175.0,7.824,81.7,639.2208,0.0,IDLE
175.5,7.824,82.0,641.568,0.0,IDLE
176.0,7.795,188.8,1471.6960000000001,0.0,IDLE
176.5,7.795,189.2,1474.8139999999999,0.0,IDLE
177.0,7.803,155.2,1211.0256,0.0,IDLE
177.5,7.809,152.0,1186.968,0.0,IDLE
178.0,7.82,81.7,638.894,0.0,IDLE
178.5,7.824,81.3,636.0912,0.0,IDLE
179.0,7.795,189.4,1476.373,0.0,IDLE
179.5,7.803,154.2,1203.2225999999998,0.0,IDLE
180.0,7.807,154.3,1204.6201,0.0,IDLE
180.5,7.82,81.8,639.676,0.0,IDLE
181.0,7.82,81.9,640.4580000000001,0.0,IDLE
181.5,7.795,188.1,1466.2395,0.0,IDLE
182.0,7.799,154.2,1202.6058,0.0,IDLE
182.5,7.799,154.6,1205.7254,0.0,IDLE
183.0,7.82,81.5,637.33,0.0,IDLE
183.5,7.824,81.8,640.0032,0.0,IDLE
184.0,7.795,189.5,1477.1525,0.0,IDLE
184.5,7.795,189.0,1473.2549999999999,0.0,IDLE
185.0,7.803,155.1,1210.2453,0.0,IDLE
185.5,7.803,155.0,1209.465,0.0,IDLE
186.0,7.82,81.8,639.676,0.0,IDLE
186.5,7.824,81.1,634.5264,0.0,IDLE
187.0,7.791,188.7,1470.1616999999999,0.0,IDLE
187.5,7.803,154.6,1206.3437999999999,0.0,IDLE
188.0,7.803,154.8,1207.9044000000001,0.0,IDLE
188.5,7.824,81.8,640.0032,0.0,IDLE
189.0,7.824,81.9,640.7856,0.0,IDLE
189.5,7.795,191.0,1488.845,0.0,IDLE
190.0,7.798,171.5,1337.357,0.0,IDLE
190.5,7.808,156.0,1218.048,0.0,IDLE
191.0,7.824,81.9,640.7856,0.0,IDLE
191.5,7.824,81.4,636.8736,0.0,IDLE
192.0,7.791,190.8,1486.5228000000002,0.0,IDLE
192.5,7.795,190.4,1484.1680000000001,0.0,IDLE
193.0,7.803,155.0,1209.465,0.0,IDLE
193.5,7.803,154.7,1207.1241,0.0,IDLE
194.0,7.82,82.0,641.24,0.0,IDLE
194.5,7.82,81.3,635.766,0.0,IDLE
195.0,7.795,188.6,1470.137,0.0,IDLE
195.5,7.803,154.2,1203.2225999999998,0.0,IDLE
196.0,7.803,155.1,1210.2453,0.0,IDLE
196.5,7.824,81.4,636.8736,0.0,IDLE
197.0,7.824,81.5,637.656,0.0,IDLE
197.5,7.795,189.6,1477.932,0.0,IDLE
198.0,7.795,190.8,1487.286,0.0,IDLE
198.5,7.803,155.2,1211.0256,0.0,IDLE
199.0,7.807,147.6,1152.3132,0.0,IDLE
199.5,7.807,154.4,1205.4008000000001,0.0,IDLE
200.0,7.824,81.5,637.656,0.0,IDLE
200.5,7.824,80.5,629.832,0.0,IDLE
201.0,7.799,186.4,1453.7336,0.0,IDLE
201.5,7.803,154.3,1204.0029000000002,0.0,IDLE
202.0,7.807,154.7,1207.7429,0.0,IDLE
202.5,7.824,81.7,639.2208,0.0,IDLE
203.0,7.824,81.2,635.3088,0.0,IDLE
203.5,7.795,187.3,1460.0035,0.0,IDLE
204.0,7.803,153.8,1200.1014,0.0,IDLE
204.5,7.803,154.2,1203.2225999999998,0.0,IDLE
205.0,7.824,81.4,636.8736,0.0,IDLE
205.5,7.824,81.3,636.0912,0.0,IDLE
206.0,7.799,186.1,1451.3939,0.0,IDLE
206.5,7.807,154.0,1202.278,0.0,IDLE
207.0,7.803,154.3,1204.0029000000002,0.0,IDLE
207.5,7.828,81.6,638.7647999999999,0.0,IDLE
208.0,7.824,81.3,636.0912,0.0,IDLE
208.5,7.794,185.5,1445.787,0.0,IDLE
209.0,7.807,153.7,1199.9359,0.0,IDLE
209.5,7.803,154.0,1201.662,0.0,IDLE
210.0,7.824,81.2,635.3088,0.0,IDLE
210.5,7.824,81.3,636.0912,0.0,IDLE
211.0,7.799,186.1,1451.3939,0.0,IDLE
211.5,7.803,153.1,1194.6393,0.0,IDLE
212.0,7.807,151.4,1181.9798,0.0,IDLE
212.5,7.824,80.4,629.0496,0.0,IDLE
213.0,7.824,81.6,638.4383999999999,0.0,IDLE
213.5,7.798,185.3,1444.9694000000002,0.0,IDLE
214.0,7.803,153.7,1199.3211,0.0,IDLE
214.5,7.803,154.1,1202.4423,0.0,IDLE
215.0,7.824,81.4,636.8736,0.0,IDLE
215.5,7.824,81.6,638.4383999999999,0.0,IDLE
216.0,7.799,186.1,1451.3939,0.0,IDLE
216.5,7.807,153.8,1200.7166000000002,0.0,IDLE
217.0,7.807,153.9,1201.4973,0.0,IDLE
217.5,7.824,81.2,635.3088,0.0,IDLE
218.0,7.824,81.4,636.8736,0.0,IDLE
218.5,7.799,186.4,1453.7336,0.0,IDLE
219.0,7.803,153.6,1198.5408,0.0,IDLE
219.5,7.807,153.7,1199.9359,0.0,IDLE
220.0,7.824,81.4,636.8736,0.0,IDLE
220.5,7.828,81.4,637.1992,0.0,IDLE
221.0,7.799,187.0,1458.413,0.0,IDLE
221.5,7.807,154.2,1203.8394,0.0,IDLE
222.0,7.807,154.4,1205.4008000000001,0.0,IDLE
222.5,7.824,81.8,640.0032,0.0,IDLE
223.0,7.828,81.3,636.4164,0.0,IDLE
223.5,7.799,187.3,1460.7527000000002,0.0,IDLE
224.0,7.807,154.0,1202.278,0.0,IDLE
224.5,7.807,154.2,1203.8394,0.0,IDLE
225.0,7.824,81.4,636.8736,0.0,IDLE
225.5,7.824,81.5,637.656,0.0,IDLE
226.0,7.799,187.5,1462.3125,0.0,IDLE
226.5,7.803,153.5,1197.7605,0.0,IDLE
227.0,7.807,154.2,1203.8394,0.0,IDLE
227.5,7.824,81.4,636.8736,0.0,IDLE
228.0,7.824,81.7,639.2208,0.0,IDLE
228.5,7.799,187.2,1459.9728,0.0,IDLE
229.0,7.805,87.8,685.279,0.0,IDLE
229.5,7.811,154.2,1204.4561999999999,0.0,IDLE
230.0,7.828,81.1,634.8507999999999,0.0,IDLE
230.5,7.828,81.5,637.982,0.0,IDLE
231.0,7.799,187.7,1463.8723,0.0,IDLE
