Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.84,80.6,631.904,0.0,IDLE
0.5,7.811,188.8,1474.7168000000001,0.0,IDLE
1.0,7.819,152.8,1194.7432000000001,0.0,IDLE
1.5,7.819,153.9,1203.3441,0.0,IDLE
2.0,7.84,80.9,634.2560000000001,0.0,IDLE
2.5,7.836,81.2,636.2832000000001,0.0,IDLE
3.0,7.811,188.6,1473.1545999999998,0.0,IDLE
3.5,7.819,153.8,1202.5622,0.0,IDLE
4.0,7.819,155.0,1211.945,0.0,IDLE
4.5,7.836,81.1,635.4996,0.0,IDLE
5.0,7.84,81.2,636.6080000000001,0.0,IDLE
5.5,7.811,187.3,1463.0003000000002,0.0,IDLE
6.0,7.81,186.0,1452.6599999999999,0.0,IDLE
6.5,7.819,153.1,1197.0889,0.0,IDLE
7.0,7.836,80.9,633.9324,0.0,IDLE
7.5,7.836,81.2,636.2832000000001,0.0,IDLE
8.0,7.811,187.2,1462.2192,0.0,IDLE
8.5,7.811,186.3,1455.1893,0.0,IDLE
9.0,7.819,153.1,1197.0889,0.0,IDLE
9.5,7.823,152.8,1195.3544000000002,0.0,IDLE
10.0,7.84,81.2,636.6080000000001,0.0,IDLE
10.5,7.836,80.7,632.3652000000001,0.0,IDLE
11.0,7.811,186.7,1458.3137,0.0,IDLE
11.5,7.819,153.6,1200.9984,0.0,IDLE
12.0,7.819,153.3,1198.6527,0.0,IDLE
12.5,7.836,81.9,641.7684,0.0,IDLE
13.0,7.836,81.4,637.8504,0.0,IDLE
13.5,7.811,188.7,1473.9357,0.0,IDLE
14.0,7.819,153.5,1200.2165,0.0,IDLE
14.5,7.819,154.0,1204.126,0.0,IDLE
15.0,7.836,80.9,633.9324,0.0,IDLE
15.5,7.836,81.4,637.8504,0.0,IDLE
16.0,7.811,188.2,1470.0302,0.0,IDLE
16.5,7.811,188.4,1471.5924,0.0,IDLE
17.0,7.819,155.4,1215.0726,0.0,IDLE
17.5,7.84,81.6,639.7439999999999,0.0,IDLE
18.0,7.84,81.4,638.176,0.0,IDLE
18.5,7.811,186.3,1455.1893,0.0,IDLE
19.0,7.81,184.9,1444.069,0.0,IDLE
19.5,7.823,153.1,1197.7013,0.0,IDLE
20.0,7.84,81.3,637.3919999999999,0.0,IDLE
20.5,7.84,81.4,638.176,0.0,IDLE
21.0,7.799,235.6,1837.4444,0.0,IDLE
21.5,7.811,187.1,1461.4380999999998,0.0,IDLE
22.0,7.819,153.4,1199.4346,0.0,IDLE
22.5,7.819,153.6,1200.9984,0.0,IDLE
