Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.63,375.0,2861.25,0.0,IDLE
0.5,7.63,373.4,2849.042,0.0,IDLE
1.0,7.627,380.3,2900.5481,0.0,IDLE
1.5,7.634,373.3,2849.7722000000003,0.0,IDLE
2.0,7.63,375.6,2865.828,0.0,IDLE
2.5,7.634,372.0,2839.848,0.0,IDLE
3.0,7.63,370.3,2825.389,0.0,IDLE
3.5,7.63,371.2,2832.256,0.0,IDLE
4.0,7.63,367.0,2800.21,0.0,IDLE
4.5,7.492,904.4,6775.7648,0.0,DRIVING
5.0,7.38,1335.9,9858.942000000001,0.0,DRIVING
5.5,7.361,1479.6,10891.335599999999,0.0,DRIVING
6.0,7.386,1464.4,10816.058400000002,0.0,DRIVING
6.5,7.363,1456.7,10725.682100000002,0.0,DRIVING
7.0,7.32,1375.6,10069.392,0.0,DRIVING
7.5,7.552,714.0,5392.128,0.0,DRIVING
8.0,7.353,1113.6,8188.300799999999,0.0,DRIVING
8.5,7.521,693.7,5217.3177000000005,0.0,DRIVING
9.0,7.534,723.6,5451.6024,0.0,DRIVING
9.5,7.548,726.1,5480.602800000001,0.0,DRIVING
10.0,7.623,380.3,2899.0269000000003,0.0,IDLE
10.5,7.623,373.4,2846.4282,0.0,IDLE
11.0,7.623,379.0,2889.117,0.0,IDLE
11.5,7.627,378.9,2889.8702999999996,0.0,IDLE
12.0,7.623,376.3,2868.5349,0.0,IDLE
12.5,7.619,379.1,2888.3629,0.0,IDLE
13.0,7.627,377.5,2879.1925,0.0,IDLE
13.5,7.619,375.5,2860.9345,0.0,IDLE
14.0,7.334,885.4,6493.5235999999995,0.0,DRIVING
14.5,7.523,784.4,5901.0412,0.0,DRIVING
15.0,7.513,1481.3,11129.0069,0.0,DRIVING
15.5,7.521,729.7,5488.0737,0.0,DRIVING
16.0,7.53,710.4,5349.312,0.0,DRIVING
16.5,7.3,1406.4,10266.720000000001,0.0,DRIVING
17.0,7.369,1375.4,10135.3226,0.0,DRIVING
17.5,7.329,790.0,5789.91,0.0,DRIVING
18.0,7.511,749.0,5625.7390000000005,0.0,DRIVING
18.5,7.512,739.5,5555.124,0.0,DRIVING
19.0,7.516,731.2,5495.6992,0.0,DRIVING
19.5,7.307,756.2,5525.553400000001,0.0,DRIVING
20.0,7.515,762.9,5733.193499999999,0.0,DRIVING
20.5,7.348,1442.5,10599.49,0.0,DRIVING
21.0,7.429,1079.6,8020.3484,0.0,DRIVING
21.5,7.494,1205.8,9036.2652,0.0,DRIVING
22.0,7.273,1464.9,10654.217700000001,0.0,DRIVING
22.5,7.513,1501.3,11279.266899999999,0.0,DRIVING
23.0,7.347,1267.2,9310.118400000001,0.0,DRIVING
23.5,7.509,778.0,5842.002,0.0,DRIVING
24.0,7.337,905.7,6645.1209,0.0,DRIVING
24.5,7.51,747.8,5615.977999999999,0.0,DRIVING
25.0,7.472,749.2,5598.022400000001,0.0,DRIVING
25.5,7.511,774.5,5817.2695,0.0,DRIVING
26.0,7.491,1417.1,10615.496099999998,0.0,DRIVING
26.5,7.379,1262.2,9313.773799999999,0.0,DRIVING
27.0,7.515,1053.5,7917.0525,0.0,DRIVING
27.5,7.395,1204.5,8907.2775,0.0,DRIVING
28.0,7.345,757.6,5564.572,0.0,DRIVING
28.5,7.5,1496.6,11224.5,0.0,DRIVING
29.0,7.325,1484.6,10874.695,0.0,DRIVING
29.5,7.351,1317.5,9684.9425,0.0,DRIVING
30.0,7.321,1498.3,10969.0543,0.0,DRIVING
30.5,7.303,1497.9,10939.163700000001,0.0,DRIVING
31.0,7.504,776.6,5827.6064,0.0,DRIVING
31.5,7.34,846.3,6211.842,0.0,DRIVING
32.0,7.262,1537.3,11163.872599999999,0.0,DRIVING
32.5,7.331,1489.4,10918.791400000002,0.0,DRIVING
33.0,7.353,1402.0,10308.905999999999,0.0,DRIVING
33.5,7.315,1548.0,11323.62,0.0,DRIVING
34.0,7.478,850.8,6362.282399999999,0.0,DRIVING
34.5,7.606,379.3,2884.9558,0.0,IDLE
35.0,7.606,379.9,2889.5193999999997,0.0,IDLE
35.5,7.61,376.5,2865.165,0.0,IDLE
36.0,7.606,466.3,3546.6778,0.0,IDLE
36.5,7.606,374.4,2847.6863999999996,0.0,IDLE
37.0,7.61,372.2,2832.442,0.0,IDLE
37.5,7.606,374.1,2845.4046000000003,0.0,IDLE
38.0,7.606,374.6,2849.2076,0.0,IDLE
38.5,7.607,404.3,3075.5101,0.0,IDLE
39.0,7.615,373.4,2843.441,0.0,IDLE
39.5,7.615,373.2,2841.918,0.0,IDLE
40.0,7.611,377.0,2869.3469999999998,0.0,IDLE
40.5,7.611,378.8,2883.0468,0.0,IDLE
41.0,7.608,448.7,3413.7095999999997,0.0,IDLE
41.5,7.607,378.4,2878.4888,0.0,IDLE
42.0,7.611,378.7,2882.2857,0.0,IDLE
42.5,7.611,378.5,2880.7635,0.0,IDLE
43.0,7.611,379.9,2891.4188999999997,0.0,IDLE
43.5,7.607,381.1,2899.0277,0.0,IDLE
44.0,7.611,494.2,3761.3561999999997,0.0,IDLE
44.5,7.607,393.1,2990.3117,0.0,IDLE
45.0,7.607,380.2,2892.1814,0.0,IDLE
45.5,7.611,379.8,2890.6578,0.0,IDLE
46.0,7.611,379.3,2886.8523,0.0,IDLE
46.5,7.611,378.6,2881.5246,0.0,IDLE
47.0,7.608,387.2,2945.8176,0.0,IDLE
47.5,7.607,541.2,4116.9084,0.0,IDLE
48.0,7.607,431.7,3283.9419,0.0,IDLE
48.5,7.607,380.7,2895.9849,0.0,IDLE
49.0,7.615,379.4,2889.131,0.0,IDLE
49.5,7.611,379.1,2885.3301,0.0,IDLE
50.0,7.611,379.5,2888.3745,0.0,IDLE
50.5,7.611,378.3,2879.2413,0.0,IDLE
51.0,7.611,380.1,2892.9411,0.0,IDLE
51.5,7.611,381.4,2902.8354,0.0,IDLE
52.0,7.607,575.1,4374.7857,0.0,IDLE
52.5,7.611,472.2,3593.9141999999997,0.0,IDLE
53.0,7.607,409.0,3111.263,0.0,IDLE
53.5,7.611,380.6,2896.7466,0.0,IDLE
54.0,7.607,384.0,2921.088,0.0,IDLE
54.5,7.615,379.7,2891.4155,0.0,IDLE
55.0,7.611,379.6,2889.1356,0.0,IDLE
55.5,7.611,379.2,2886.0912,0.0,IDLE
56.0,7.615,379.6,2890.6540000000005,0.0,IDLE
56.5,7.611,380.6,2896.7466,0.0,IDLE
57.0,7.611,380.2,2893.7021999999997,0.0,IDLE
57.5,7.616,383.1,2917.6896,0.0,IDLE
58.0,7.607,380.9,2897.5063,0.0,IDLE
58.5,7.607,590.4,4491.1728,0.0,IDLE
59.0,7.607,509.9,3878.8093,0.0,IDLE
59.5,7.607,457.8,3482.4846000000002,0.0,IDLE
60.0,7.607,416.8,3170.5976,0.0,IDLE
60.5,7.607,393.1,2990.3117,0.0,IDLE
61.0,7.607,381.0,2898.2670000000003,0.0,IDLE
61.5,7.607,378.2,2876.9674,0.0,IDLE
62.0,7.607,378.9,2882.2923,0.0,IDLE
62.5,7.611,384.7,2927.9516999999996,0.0,IDLE
63.0,7.611,381.3,2902.0743,0.0,IDLE
63.5,7.611,380.1,2892.9411,0.0,IDLE
64.0,7.607,380.0,2890.66,0.0,IDLE
64.5,7.611,380.3,2894.4633,0.0,IDLE
65.0,7.608,385.3,2931.3624,0.0,IDLE
65.5,7.611,381.0,2899.7909999999997,0.0,IDLE
66.0,7.607,380.4,2893.7028,0.0,IDLE
66.5,7.607,380.0,2890.66,0.0,IDLE
67.0,7.607,380.0,2890.66,0.0,IDLE
67.5,7.611,381.7,2905.1187,0.0,IDLE
68.0,7.607,392.5,2985.7475,0.0,IDLE
68.5,7.611,382.1,2908.1631,0.0,IDLE
69.0,7.607,380.3,2892.9421,0.0,IDLE
69.5,7.61,380.0,2891.8,0.0,IDLE
70.0,7.61,376.7,2866.687,0.0,IDLE
70.5,7.61,375.1,2854.5110000000004,0.0,IDLE
71.0,7.611,375.1,2854.8861,0.0,IDLE
71.5,7.611,375.1,2854.8861,0.0,IDLE
72.0,7.61,375.0,2853.75,0.0,IDLE
72.5,7.61,374.9,2852.989,0.0,IDLE
73.0,7.495,806.0,6040.97,0.0,DRIVING
73.5,7.516,703.6,5288.2576,0.0,DRIVING
74.0,7.513,731.2,5493.5056,0.0,DRIVING
74.5,7.508,726.7,5456.0636,0.0,DRIVING
75.0,7.603,374.2,2845.0425999999998,0.0,IDLE
75.5,7.603,374.4,2846.5631999999996,0.0,IDLE
76.0,7.608,381.2,2900.1695999999997,0.0,IDLE
76.5,7.607,378.4,2878.4888,0.0,IDLE
77.0,7.607,379.0,2883.053,0.0,IDLE
77.5,7.611,379.9,2891.4188999999997,0.0,IDLE
78.0,7.603,379.7,2886.8590999999997,0.0,IDLE
78.5,7.607,378.9,2882.2923,0.0,IDLE
79.0,7.607,380.8,2896.7456,0.0,IDLE
79.5,7.603,379.5,2885.3385,0.0,IDLE
80.0,7.607,378.6,2880.0102,0.0,IDLE
80.5,7.607,377.8,2873.9246000000003,0.0,IDLE
81.0,7.611,379.4,2887.6133999999997,0.0,IDLE
81.5,7.607,379.6,2887.6172,0.0,IDLE
82.0,7.607,379.0,2883.053,0.0,IDLE
82.5,7.607,379.1,2883.8137,0.0,IDLE
83.0,7.607,379.0,2883.053,0.0,IDLE
83.5,7.607,382.0,2905.8740000000003,0.0,IDLE
84.0,7.608,387.7,2949.6216,0.0,IDLE
84.5,7.612,382.6,2912.3512,0.0,IDLE
85.0,7.607,381.9,2905.1133,0.0,IDLE
85.5,7.608,382.7,2911.5816,0.0,IDLE
86.0,7.607,382.2,2907.3954,0.0,IDLE
86.5,7.611,381.2,2901.3131999999996,0.0,IDLE
87.0,7.611,381.3,2902.0743,0.0,IDLE
87.5,7.607,382.4,2908.9168,0.0,IDLE
88.0,7.607,381.1,2899.0277,0.0,IDLE
88.5,7.611,381.2,2901.3131999999996,0.0,IDLE
89.0,7.611,381.5,2903.5965,0.0,IDLE
