Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.431,384.4,2856.4764,0.0,IDLE
0.5,7.431,388.0,2883.228,0.0,IDLE
1.0,7.435,388.4,2887.754,0.0,IDLE
1.5,7.431,385.1,2861.6781,0.0,IDLE
2.0,7.431,387.2,2877.2832,0.0,IDLE
2.5,7.431,387.9,2882.4849,0.0,IDLE
3.0,7.427,385.0,2859.395,0.0,IDLE
3.5,7.428,385.4,2862.7511999999997,0.0,IDLE
4.0,7.431,390.0,2898.09,0.0,IDLE
4.5,7.431,385.3,2863.1643,0.0,IDLE
5.0,7.431,386.3,2870.5953,0.0,IDLE
5.5,7.431,388.7,2888.4297,0.0,IDLE
6.0,7.431,382.5,2842.3575,0.0,IDLE
6.5,7.431,380.3,2826.0093,0.0,IDLE
7.0,7.431,383.6,2850.5316000000003,0.0,IDLE
7.5,7.434,400.8,2979.5472,0.0,IDLE
8.0,7.431,379.7,2821.5507,0.0,IDLE
8.5,7.431,383.6,2850.5316000000003,0.0,IDLE
9.0,7.431,382.9,2845.3298999999997,0.0,IDLE
9.5,7.431,378.4,2811.8903999999998,0.0,IDLE
10.0,7.432,387.2,2877.6704,0.0,IDLE
10.5,7.431,381.6,2835.6696,0.0,IDLE
11.0,7.431,379.9,2823.0369,0.0,IDLE
11.5,7.432,383.5,2850.172,0.0,IDLE
12.0,7.427,382.5,2840.8275,0.0,IDLE
12.5,7.431,384.1,2854.2471,0.0,IDLE
13.0,7.431,390.8,2904.0348,0.0,IDLE
13.5,7.427,388.0,2881.676,0.0,IDLE
14.0,7.431,384.2,2854.9901999999997,0.0,IDLE
14.5,7.429,387.9,2881.7091,0.0,IDLE
15.0,7.431,389.3,2892.8883,0.0,IDLE
15.5,7.431,384.2,2854.9901999999997,0.0,IDLE
16.0,7.431,388.7,2888.4297,0.0,IDLE
16.5,7.431,388.2,2884.7142,0.0,IDLE
17.0,7.431,384.2,2854.9901999999997,0.0,IDLE
17.5,7.427,388.1,2882.4187,0.0,IDLE
18.0,7.431,387.0,2875.797,0.0,IDLE
18.5,7.431,384.1,2854.2471,0.0,IDLE
19.0,7.428,388.0,2882.064,0.0,IDLE
19.5,7.427,386.0,2866.8219999999997,0.0,IDLE
20.0,7.431,383.7,2851.2747,0.0,IDLE
20.5,7.431,389.2,2892.1452,0.0,IDLE
21.0,7.431,385.3,2863.1643,0.0,IDLE
21.5,7.431,385.9,2867.6229,0.0,IDLE
22.0,7.428,387.5,2878.35,0.0,IDLE
22.5,7.431,385.1,2861.6781,0.0,IDLE
23.0,7.431,386.0,2868.366,0.0,IDLE
23.5,7.427,386.6,2871.2782,0.0,IDLE
24.0,7.431,383.0,2846.073,0.0,IDLE
24.5,7.431,387.3,2878.0263,0.0,IDLE
25.0,7.428,388.9,2888.7491999999997,0.0,IDLE
25.5,7.431,387.2,2877.2832,0.0,IDLE
26.0,7.432,388.3,2885.8456,0.0,IDLE
26.5,7.427,388.4,2884.6467999999995,0.0,IDLE
27.0,7.431,383.7,2851.2747,0.0,IDLE
27.5,7.436,388.4,2888.1423999999997,0.0,IDLE
28.0,7.431,385.9,2867.6229,0.0,IDLE
28.5,7.427,382.8,2843.0556,0.0,IDLE
29.0,7.431,387.3,2878.0263,0.0,IDLE
29.5,7.427,384.2,2853.4534,0.0,IDLE
30.0,7.298,1033.9,7545.4022,0.0,DRIVING
30.5,7.327,799.5,5857.9365,0.0,DRIVING
31.0,7.152,1297.0,9276.144,0.0,DRIVING
31.5,7.325,766.1,5611.6825,0.0,DRIVING
32.0,7.324,766.5,5613.846,0.0,DRIVING
32.5,7.329,748.5,5485.7564999999995,0.0,DRIVING
33.0,7.32,765.5,5603.46,0.0,DRIVING
33.5,7.327,754.7,5529.686900000001,0.0,DRIVING
34.0,7.322,775.5,5678.211,0.0,DRIVING
34.5,7.324,753.6,5519.3664,0.0,DRIVING
35.0,7.321,770.5,5640.8305,0.0,DRIVING
35.5,7.323,1087.0,7960.101000000001,0.0,DRIVING
36.0,7.324,776.7,5688.5508,0.0,DRIVING
